SourceUserID,ReplyUserID,ReplyCount,SourceStance,ReplyStance,AgreeScore
3059,5980,1,R,U,-1
3059,7269,1,R,U,-1
3061,4302,1,R,U,-1
3061,6402,1,R,U,-1
3117,12007,1,U,U,1
3129,6217,1,U,U,1
3129,10548,1,U,U,1
3129,11890,1,U,U,1
3158,5271,1,U,U,1
3158,9661,1,U,U,1
3158,10182,1,U,U,1
3158,11658,1,U,U,1
3299,4477,1,U,U,1
3299,5800,1,U,U,1
3299,10143,1,U,U,1
3328,11658,3,U,U,3
3356,3356,1,U,U,1
3356,12007,1,U,U,1
3367,6609,1,U,U,1
3367,11890,1,U,U,1
3423,4226,1,R,U,-1
3529,4980,3,U,R,-3
3529,10997,1,U,U,1
3529,11079,1,U,U,1
3529,11658,1,U,U,1
3529,12152,1,U,U,1
3597,5797,2,U,R,-2
3597,6217,1,U,U,1
3630,11658,3,U,U,3
3666,3666,10,R,R,10
3666,7006,1,R,R,1
3666,7104,7,R,U,-7
3699,11658,4,U,U,4
3742,3742,2,U,U,2
3750,3750,30,U,U,30
3772,3772,12,U,U,12
3772,3984,2,U,U,2
3772,4077,1,U,U,1
3772,4980,3,U,R,-3
3772,5684,1,U,R,-1
3772,5918,3,U,R,-3
3772,6217,5,U,U,5
3772,7705,1,U,U,1
3772,8078,3,U,U,3
3772,8722,1,U,R,-1
3772,8878,2,U,U,2
3772,9624,3,U,R,-3
3772,10143,2,U,U,2
3772,10548,1,U,U,1
3772,11069,6,U,R,-6
3772,11890,1,U,U,1
3773,3773,1,U,U,1
3779,3779,2,U,U,2
3893,5684,1,U,R,-1
3893,7104,1,U,U,1
3952,6217,1,U,U,1
3978,11890,1,U,U,1
3984,3984,5,U,U,5
3984,5414,1,U,U,1
3984,5918,2,U,R,-2
3984,7269,1,U,U,1
3984,10626,4,U,U,4
3984,10767,1,U,U,1
3984,10997,1,U,U,1
4077,10769,1,U,U,1
4083,4083,21,U,U,21
4083,6217,2,U,U,2
4083,7767,1,U,U,1
4083,10548,1,U,U,1
4137,4137,1,U,U,1
4137,11521,5,U,R,-5
4171,6217,2,U,U,2
4245,4245,2,R,R,2
4284,4284,12,R,R,12
4302,10940,1,U,U,1
4314,4314,3,U,U,3
4315,4315,1,U,U,1
4321,6217,3,U,U,3
4321,6828,1,U,R,-1
4449,8669,1,R,U,-1
4453,5918,1,U,R,-1
4453,6217,1,U,U,1
4453,6971,2,U,U,2
4453,9624,1,U,R,-1
4453,10143,1,U,U,1
4453,10574,1,U,R,-1
4453,11521,2,U,R,-2
4468,4468,1,R,R,1
4468,7104,6,R,U,-6
4468,9538,1,R,U,-1
4508,11658,10,U,U,10
4727,4727,1,U,U,1
4743,11658,3,U,U,3
4773,6217,1,R,U,-1
4938,4938,4,U,U,4
4938,5500,1,U,U,1
4938,6217,1,U,U,1
